Title,Company,Experience,Location,Tags,Ratings,Reviews,Salary,Job_Type,Posted
Natural Language Processing (NLP) Application Developer,Accenture Solutions Pvt Ltd,6-8 Yrs,Mumbai,"R
comm
Scala
verbal
No SQL
written
Java
Natural Language Processing",4.0,(18767 Reviews),Not disclosed,PREFERRED,22 DAYS AGO
Natural Language Processing (NLP) Application Developer,Accenture Solutions Pvt Ltd,8-10 Yrs,Bangalore/Bengaluru,"Business process
data science
Neural networks
Consulting
SCALA
Agile
Natural language processing
Oracle",4.0,(18767 Reviews),Not disclosed,PREFERRED,22 DAYS AGO
Natural Language Processing (NLP) Application Developer,Accenture Solutions Pvt Ltd,6-8 Yrs,Pune,"IT Skills
Java
Python
Data Science
Oracle
Business process
Neural networks
Consulting",4.0,(18767 Reviews),Not disclosed,PREFERRED,22 DAYS AGO
Natural Language Processing (NLP) Application Developer,Accenture Solutions Pvt Ltd,8-10 Yrs,Chennai,"IT Skills
Java
Python
Data Science
Oracle
Business process
Neural networks
Consulting",4.0,(18767 Reviews),Not disclosed,PREFERRED,15 DAYS AGO
Machine Learning - Lead,Opex Global Services,6-11 Yrs,"Mumbai, Pune, Chennai","ML
Machine learning
NoSQL
NodeJS
AWS
NLP
AI
MySQL",,,Not disclosed,PREMIUM,30+ DAYS AGO
Machine Learning Analyst 5 To 7 Years,Acesoft Labs (India) Pvt Ltd,5-10 Yrs,Bangalore/Bengaluru,"IT Skills
Testing
Machine Learning
Cloud
Oracle
Power BI
Supervised Learning
Artificial Intelligence",,,Not disclosed,PREMIUM,23 DAYS AGO
Director Machine Learning,Zycus Infotech Pvt Ltd,14-20 Yrs,Mumbai,"Predictive Modeling
R
Pattern Recognition
NLP
Artificial Intelligence
Natural Language Processing
Machine Learning
Python",3.2,(174 Reviews),Not disclosed,PREMIUM,6 DAYS AGO
Director Machine Learning,Zycus Infotech Pvt Ltd,14-20 Yrs,Bangalore/Bengaluru,"Predictive Modeling
R
Pattern Recognition
NLP
Artificial Intelligence
Natural Language Processing
Machine Learning
Python",3.2,(174 Reviews),Not disclosed,PREMIUM,6 DAYS AGO
Data Science Application Developer,Accenture Solutions Pvt Ltd,4-6 Yrs,Hyderabad/Secunderabad,"Business process
Data analysis
Image processing
data science
Consulting
Data structures
Data processing
Data quality",4.0,(18767 Reviews),Not disclosed,PREFERRED,26 DAYS AGO
Data Scientist Senior Advisor,Dell International Services India Private Limited,12-16 Yrs,Bangalore/Bengaluru,"Spark
verbal
Pig
Agile
written communication
Kafka
R
NOSQL",4.0,(1797 Reviews),Not disclosed,PREMIUM,30+ DAYS AGO
Machine Learning & Automation Expert - Data Science,GENPACT India Private Limited,6-11 Yrs,"Gurgaon/Gurugram, Bangalore/Bengaluru","Data Science
Machine Learning",4.0,(10921 Reviews),Not disclosed,PREMIUM,27 DAYS AGO
Data Scientist,Oracle India Pvt. Ltd.,5-9 Yrs,"Noida, Bangalore/Bengaluru","Data Science
Big Data
Machine Learning
IT Skills
Python
Product Management
Oracle
NLP",3.7,(1943 Reviews),"12,00,000 - 22,00,000 PA.",PREMIUM,30+ DAYS AGO
Director Machine Learning,Zycus Infotech Pvt Ltd,14-16 Yrs,Mumbai,"Predictive Modeling
Java
R
Algorithms
Artificial Intelligence
Data Mining
Machine Learning
Angular",3.2,(174 Reviews),Not disclosed,PREMIUM,15 DAYS AGO
Machine learning - Model Development + Deployment (Manager),Allegis Services India Pvt. Ltd.,6-8 Yrs,Gurgaon/Gurugram,"Algorithm Development
Artificial Intelligence
Neural Networks
model deployment
Deployment
Text Mining
Machine Learning
SQL",3.7,(214 Reviews),"12,00,000 - 20,00,000 PA.",,9 DAYS AGO
Machine learning - Model Development + Deployment (Manager),Allegis Services India Pvt. Ltd.,6-8 Yrs,Gurgaon/Gurugram,"Algorithm Development
Artificial Intelligence
Neural Networks
model deployment
Deployment
Text Mining
Machine Learning
SQL",3.7,(214 Reviews),"12,00,000 - 20,00,000 PA.",PREFERRED,9 DAYS AGO
Data Scientist - Algorithm/ Machine Learning,Ally -eXecutive HR Consulting Partner,6-9 Yrs,Bangalore/Bengaluru,"Tensorflow
Data Science
R-CNN
Data Scientist
Statistical Modeling
Spark
AWS
Algorithm",,,Not disclosed,PREMIUM,22 DAYS AGO
Deputy Manager - Data Science,WNS GLOBAL SERVICES PRIVATE LIMITED,5-9 Yrs,"Mumbai(Vikhroli)
(WFH during Covid)","Data Science
R
Life Cycle
Statistical Modeling
Machine Learning
Deep Learning
Python",3.7,(4157 Reviews),Not disclosed,PREFERRED,3 DAYS AGO
Data Scientist,Schlumberger,6-9 Yrs,Pune,"IT Skills
Python
Data Science
Machine Learning
Artificial Intelligence
Big Data
Tensorflow
R",4.2,(390 Reviews),Not disclosed,PREMIUM,30+ DAYS AGO
Director Machine Learning,Zycus Infotech Pvt Ltd,14-16 Yrs,Bangalore/Bengaluru,"IT Skills
Java
Python
Software Development
Machine Learning
Artificial Intelligence
Cloud
R",3.2,(174 Reviews),Not disclosed,PREMIUM,15 DAYS AGO
Data Scientist- 5.5+Yrs Pune -Immediate -30 days,Virtusa Consulting Services Pvt Ltd,6-8 Yrs,Pune,"NLTK
communication
Artificial Intelligence
Pandas
Scikit
Spacy io
LSTM
NLU",3.4,(1078 Reviews),Not disclosed,PREFERRED,19 DAYS AGO
Data Scientist - Machine Learning,TalPro,3-6 Yrs,"Gurgaon/Gurugram, Delhi / NCR","NN
Scientist
Learning
Keras
MySQL
R - Shiny
Pytorch
Matplotlib",,,Not disclosed,PREMIUM,30+ DAYS AGO
Data Science Application Developer,Accenture Solutions Pvt Ltd,4-6 Yrs,Pune,"modelling
statistical modeling
analytics
data mining
Visual Analytics
AI
STATA
R",4.0,(18767 Reviews),Not disclosed,PREFERRED,6 DAYS AGO
